state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,102.0,2.0,8.0,17.0,96.0,42.0,7.0,1,Satisfactory
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079,26.0,4.0,13.0,42.0,69.0,70.0,24.0,2,Moderate
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,43.0,1.0,8.0,24.0,70.0,58.0,13.0,1,Satisfactory
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,9.0,1.0,9.0,14.0,152.0,134.0,34.0,4,Very Poor
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,91.0,7.0,7.0,9.0,105.0,37.0,55.0,1,Satisfactory
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,51.0,3.0,9.0,2.0,49.0,63.0,10.0,2,Moderate
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,25.0,3.0,9.0,2.0,105.0,73.0,30.0,2,Moderate
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,13.0,12.0,4.0,4.0,102.0,85.0,22.0,2,Moderate
Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.7955,84.9994,50.0,5.0,9.0,18.0,105.0,98.0,12.0,3,Poor
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,2.0,1.0,12.0,24.0,161.0,78.0,42.0,2,Moderate
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,28.0,4.0,21.0,22.0,73.0,66.0,7.0,2,Moderate
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,51.0,16.0,22.0,18.0,137.0,206.0,6.0,4,Very Poor
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,92.0,1.0,9.0,8.0,44.0,42.0,23.0,1,Satisfactory
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,15.0,3.0,8.0,32.0,54.0,59.0,8.0,1,Satisfactory
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,32.0,2.0,5.0,9.0,117.0,111.0,16.0,3,Poor
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,17.0,3.0,5.0,3.0,97.0,98.0,3.0,3,Poor
Bihar,Munger,"Town Hall, Munger - BSPCB",25.376776,86.471523,27.0,3.0,5.0,10.0,44.0,48.0,46.0,1,Satisfactory
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,24.0,16.0,34.0,22.0,105.0,128.0,5.0,4,Very Poor
Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,55.0,1.0,5.0,9.0,71.0,90.0,12.0,2,Moderate
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,19.0,5.0,10.0,6.0,105.0,96.0,6.0,3,Poor
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,65.0,11.0,50.0,8.0,209.0,78.0,6.0,2,Moderate
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,85.0,5.0,16.0,37.0,143.0,76.0,5.0,2,Moderate
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568,42.0,5.0,2.0,48.0,105.0,173.0,22.0,4,Very Poor
Bihar,Patna,"Muradpur, Patna - BSPCB",25.619651,85.147382,117.0,5.0,11.0,34.0,134.0,209.0,9.0,4,Very Poor
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,17.0,4.0,12.0,30.0,119.0,95.0,6.0,3,Poor
Bihar,Patna,"Samanpura, Patna - BSPCB",25.596727,85.085624,66.0,14.0,45.0,73.0,165.0,87.0,4.0,2,Moderate
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468,56.0,3.0,6.0,20.0,60.0,76.0,18.0,2,Moderate
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948,40.0,3.0,14.0,26.0,50.0,54.0,3.0,1,Satisfactory
Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.892357,86.590325,36.0,4.0,7.0,9.0,157.0,103.0,16.0,3,Poor
